text
"胡昌亞老師的管理學課程difficult分數為73.41,busy分數為63.29,low分數為12.88,high分數為82.3,easy分數為23.2,interesting分數為99.69,clear分數為99.44,implicit分數為74.11,heavy分數為42.11,boring分數為0.72,thoughtful分數為97.85,sweet分數為98.18,hard分數為59.11,cold分數為4.43."
"李瓊淑老師的管理學課程difficult分數為97.53,busy分數為98.71,low分數為95.29,high分數為99.33,easy分數為97.7,interesting分數為99.48,clear分數為99.44,implicit分數為98.63,heavy分數為98.96,boring分數為91.13,thoughtful分數為99.44,sweet分數為99.39,hard分數為97.46,cold分數為96.6."
"曹莉玲老師的管理學課程difficult分數為50.69,busy分數為40.55,low分數為28.92,high分數為70.15,easy分數為15.11,interesting分數為99.09,clear分數為88.63,implicit分數為52.45,heavy分數為27.43,boring分數為4.38,thoughtful分數為99.57,sweet分數為95.24,hard分數為44.22,cold分數為2.53."
"廖經維老師的管理學課程difficult分數為74.51,busy分數為84.02,low分數為57.25,high分數為58.16,easy分數為54.04,interesting分數為86.07,clear分數為69.94,implicit分數為82.8,heavy分數為64.41,boring分數為31.15,thoughtful分數為85.05,sweet分數為74.97,hard分數為70.75,cold分數為57.01."
"胡昌亞、范思美、陳燕諭老師的管理學課程difficult分數為67.83,busy分數為26.68,low分數為26.42,high分數為87.7,easy分數為3.26,interesting分數為98.85,clear分數為38.72,implicit分數為55.89,heavy分數為19.57,boring分數為0.12,thoughtful分數為96.83,sweet分數為87.09,hard分數為44.47,cold分數為0.51."
"林呈欣老師的管理學課程difficult分數為65.32,busy分數為68.13,low分數為46.0,high分數為77.75,easy分數為14.8,interesting分數為98.7,clear分數為59.79,implicit分數為70.5,heavy分數為12.24,boring分數為0.7,thoughtful分數為95.48,sweet分數為89.24,hard分數為52.53,cold分數為9.31."
"林介勝老師的管理學課程difficult分數為81.82,busy分數為93.57,low分數為79.13,high分數為40.39,easy分數為38.74,interesting分數為94.01,clear分數為74.95,implicit分數為85.76,heavy分數為80.22,boring分數為29.86,thoughtful分數為89.05,sweet分數為89.99,hard分數為77.13,cold分數為98.99."
"胡昌亞、范思美老師的管理學課程difficult分數為85.5,busy分數為81.3,low分數為54.52,high分數為82.12,easy分數為10.98,interesting分數為94.26,clear分數為94.25,implicit分數為70.23,heavy分數為42.43,boring分數為0.47,thoughtful分數為97.94,sweet分數為99.42,hard分數為79.37,cold分數為16.0."
"陳麗霞老師的統計學課程difficult分數為67.04,busy分數為81.55,low分數為58.55,high分數為79.85,easy分數為57.01,interesting分數為82.42,clear分數為89.19,implicit分數為82.72,heavy分數為78.58,boring分數為29.05,thoughtful分數為91.04,sweet分數為71.31,hard分數為70.18,cold分數為74.66."
"翁久幸老師的統計學課程difficult分數為78.29,busy分數為74.19,low分數為63.39,high分數為54.87,easy分數為47.1,interesting分數為79.12,clear分數為78.32,implicit分數為86.88,heavy分數為70.39,boring分數為53.32,thoughtful分數為91.0,sweet分數為73.89,hard分數為74.93,cold分數為73.16."
"薛慧敏老師的統計學課程difficult分數為96.75,busy分數為97.08,low分數為93.41,high分數為97.4,easy分數為89.03,interesting分數為98.48,clear分數為98.21,implicit分數為97.13,heavy分數為96.28,boring分數為81.16,thoughtful分數為98.63,sweet分數為96.6,hard分數為96.66,cold分數為95.68."
"楊素芬老師的統計學課程difficult分數為46.78,busy分數為53.93,low分數為38.67,high分數為31.79,easy分數為24.56,interesting分數為60.97,clear分數為48.27,implicit分數為67.36,heavy分數為35.28,boring分數為10.45,thoughtful分數為71.79,sweet分數為39.63,hard分數為36.8,cold分數為39.93."
"劉惠美老師的統計學課程difficult分數為87.63,busy分數為83.51,low分數為69.98,high分數為90.73,easy分數為45.08,interesting分數為87.92,clear分數為89.16,implicit分數為89.81,heavy分數為86.57,boring分數為34.9,thoughtful分數為92.7,sweet分數為79.45,hard分數為80.88,cold分數為76.31."
"周珮婷老師的統計學課程difficult分數為91.11,busy分數為89.91,low分數為69.95,high分數為72.57,easy分數為63.08,interesting分數為94.85,clear分數為94.1,implicit分數為95.71,heavy分數為89.77,boring分數為42.52,thoughtful分數為95.37,sweet分數為92.59,hard分數為92.53,cold分數為87.0."
"陳心蘋老師的統計學課程difficult分數為70.49,busy分數為79.83,low分數為81.76,high分數為82.16,easy分數為81.0,interesting分數為91.39,clear分數為90.51,implicit分數為90.87,heavy分數為76.62,boring分數為56.42,thoughtful分數為92.13,sweet分數為87.52,hard分數為68.73,cold分數為74.8."
"鄭宇庭老師的統計學課程difficult分數為76.58,busy分數為93.59,low分數為62.25,high分數為79.91,easy分數為40.98,interesting分數為97.04,clear分數為92.75,implicit分數為87.56,heavy分數為77.45,boring分數為20.12,thoughtful分數為98.2,sweet分數為92.3,hard分數為77.25,cold分數為75.65."
"黃佳慧老師的統計學課程difficult分數為94.92,busy分數為94.08,low分數為89.22,high分數為97.04,easy分數為92.96,interesting分數為98.74,clear分數為98.9,implicit分數為93.14,heavy分數為94.53,boring分數為55.3,thoughtful分數為98.98,sweet分數為98.63,hard分數為93.46,cold分數為83.04."
"陳麗霞老師的統計學（一）課程difficult分數為72.73,busy分數為78.14,low分數為76.19,high分數為70.27,easy分數為75.43,interesting分數為92.43,clear分數為90.01,implicit分數為90.47,heavy分數為59.86,boring分數為30.33,thoughtful分數為94.88,sweet分數為80.42,hard分數為70.54,cold分數為62.63."
"張育瑋老師的統計學（一）課程difficult分數為93.84,busy分數為94.53,low分數為89.67,high分數為96.32,easy分數為82.36,interesting分數為97.7,clear分數為96.99,implicit分數為93.99,heavy分數為93.6,boring分數為45.68,thoughtful分數為98.48,sweet分數為96.73,hard分數為92.26,cold分數為92.2."
"陳立榜老師的統計學（一）課程difficult分數為75.36,busy分數為74.81,low分數為62.57,high分數為70.39,easy分數為28.51,interesting分數為77.35,clear分數為56.55,implicit分數為74.39,heavy分數為74.17,boring分數為21.08,thoughtful分數為84.34,sweet分數為49.37,hard分數為73.12,cold分數為60.05."
"吳漢銘老師的統計學（一）課程difficult分數為88.17,busy分數為90.97,low分數為83.36,high分數為51.33,easy分數為36.83,interesting分數為74.99,clear分數為74.93,implicit分數為96.27,heavy分數為82.68,boring分數為57.1,thoughtful分數為87.25,sweet分數為34.94,hard分數為88.13,cold分數為76.4."
"周珮婷、薛慧敏老師的統計學（一）課程difficult分數為93.83,busy分數為88.89,low分數為30.41,high分數為64.91,easy分數為5.21,interesting分數為89.35,clear分數為41.76,implicit分數為51.93,heavy分數為55.81,boring分數為9.46,thoughtful分數為85.26,sweet分數為87.03,hard分數為94.38,cold分數為19.27."
"張育瑋、薛慧敏老師的統計學（二）課程difficult分數為35.23,busy分數為35.95,low分數為10.47,high分數為55.33,easy分數為4.51,interesting分數為97.64,clear分數為92.8,implicit分數為33.73,heavy分數為38.38,boring分數為0.06,thoughtful分數為93.5,sweet分數為71.33,hard分數為35.98,cold分數為1.03."
"翁久幸老師的統計學（一）課程difficult分數為89.78,busy分數為86.22,low分數為71.33,high分數為92.45,easy分數為88.4,interesting分數為93.62,clear分數為93.72,implicit分數為90.83,heavy分數為88.18,boring分數為72.41,thoughtful分數為95.01,sweet分數為91.71,hard分數為87.51,cold分數為86.59."
"楊素芬老師的統計學（一）課程difficult分數為82.59,busy分數為86.31,low分數為65.63,high分數為72.37,easy分數為39.55,interesting分數為92.97,clear分數為90.24,implicit分數為88.91,heavy分數為85.18,boring分數為28.15,thoughtful分數為95.61,sweet分數為85.66,hard分數為80.26,cold分數為71.87."
"周珮婷老師的統計學（一）課程difficult分數為94.47,busy分數為85.28,low分數為90.91,high分數為85.45,easy分數為79.79,interesting分數為96.71,clear分數為95.09,implicit分數為95.51,heavy分數為91.96,boring分數為55.7,thoughtful分數為97.01,sweet分數為94.58,hard分數為93.68,cold分數為96.12."
"吳漢銘老師的統計學（二）課程difficult分數為95.83,busy分數為94.4,low分數為82.39,high分數為76.89,easy分數為55.68,interesting分數為94.01,clear分數為94.03,implicit分數為95.33,heavy分數為92.41,boring分數為74.96,thoughtful分數為95.36,sweet分數為83.06,hard分數為94.74,cold分數為85.7."
"楊素芬老師的統計學（二）課程difficult分數為81.98,busy分數為88.63,low分數為74.69,high分數為89.13,easy分數為52.45,interesting分數為97.2,clear分數為97.08,implicit分數為94.76,heavy分數為86.01,boring分數為23.63,thoughtful分數為98.19,sweet分數為93.81,hard分數為91.96,cold分數為78.41."
"黃佳慧老師的統計學（一）課程difficult分數為95.88,busy分數為67.04,low分數為36.77,high分數為90.69,easy分數為3.23,interesting分數為93.16,clear分數為94.76,implicit分數為56.24,heavy分數為20.24,boring分數為1.11,thoughtful分數為96.49,sweet分數為73.56,hard分數為92.9,cold分數為20.63."
"周珮婷老師的統計學（二）課程difficult分數為93.12,busy分數為95.59,low分數為75.44,high分數為93.1,easy分數為85.32,interesting分數為97.24,clear分數為97.16,implicit分數為96.54,heavy分數為92.32,boring分數為74.61,thoughtful分數為97.92,sweet分數為95.28,hard分數為93.75,cold分數為84.46."
"陳麗霞老師的統計學（二）課程difficult分數為77.33,busy分數為94.03,low分數為62.37,high分數為86.01,easy分數為49.85,interesting分數為92.64,clear分數為92.1,implicit分數為90.29,heavy分數為89.19,boring分數為33.73,thoughtful分數為94.79,sweet分數為88.54,hard分數為71.1,cold分數為38.71."
"張育瑋老師的統計學（二）課程difficult分數為90.4,busy分數為94.88,low分數為22.45,high分數為36.3,easy分數為2.88,interesting分數為73.87,clear分數為15.68,implicit分數為31.19,heavy分數為77.0,boring分數為3.57,thoughtful分數為64.75,sweet分數為34.13,hard分數為87.72,cold分數為24.51."
"翁久幸老師的統計學（二）課程difficult分數為97.47,busy分數為79.13,low分數為59.7,high分數為11.33,easy分數為0.81,interesting分數為86.9,clear分數為1.23,implicit分數為50.0,heavy分數為81.44,boring分數為4.57,thoughtful分數為68.19,sweet分數為74.69,hard分數為96.76,cold分數為37.58."
"陳立榜老師的統計學（二）課程difficult分數為83.75,busy分數為72.23,low分數為57.16,high分數為60.61,easy分數為4.14,interesting分數為95.79,clear分數為95.84,implicit分數為51.59,heavy分數為28.92,boring分數為0.83,thoughtful分數為97.56,sweet分數為78.18,hard分數為84.81,cold分數為13.19."
"薛慧敏老師的統計學（一）課程difficult分數為95.09,busy分數為95.03,low分數為89.1,high分數為96.02,easy分數為80.13,interesting分數為97.85,clear分數為98.58,implicit分數為96.96,heavy分數為92.97,boring分數為32.97,thoughtful分數為97.92,sweet分數為96.66,hard分數為93.88,cold分數為91.09."
"劉惠美老師的統計學（一）課程difficult分數為92.45,busy分數為93.42,low分數為72.96,high分數為75.71,easy分數為70.65,interesting分數為95.12,clear分數為95.77,implicit分數為96.08,heavy分數為95.33,boring分數為54.29,thoughtful分數為97.51,sweet分數為89.06,hard分數為92.76,cold分數為90.06."
"陳怡如老師的統計學（一）課程difficult分數為86.37,busy分數為27.43,low分數為20.93,high分數為22.65,easy分數為0.32,interesting分數為91.43,clear分數為13.2,implicit分數為33.03,heavy分數為25.71,boring分數為0.1,thoughtful分數為17.31,sweet分數為0.21,hard分數為66.71,cold分數為89.03."
"王信實老師的經濟學課程difficult分數為20.75,busy分數為32.29,low分數為19.63,high分數為23.14,easy分數為6.2,interesting分數為13.74,clear分數為18.36,implicit分數為56.41,heavy分數為20.37,boring分數為15.35,thoughtful分數為41.56,sweet分數為25.69,hard分數為16.43,cold分數為15.2."
"溫偉任老師的經濟學課程difficult分數為78.66,busy分數為77.41,low分數為60.29,high分數為56.67,easy分數為63.6,interesting分數為85.38,clear分數為83.56,implicit分數為84.96,heavy分數為78.02,boring分數為48.85,thoughtful分數為87.0,sweet分數為77.45,hard分數為74.61,cold分數為62.3."
"方中柔老師的經濟學課程difficult分數為97.51,busy分數為66.26,low分數為57.5,high分數為72.06,easy分數為62.54,interesting分數為99.8,clear分數為99.91,implicit分數為72.09,heavy分數為65.32,boring分數為0.77,thoughtful分數為99.44,sweet分數為99.14,hard分數為98.34,cold分數為18.83."
"翁永和老師的經濟學課程difficult分數為60.31,busy分數為70.49,low分數為48.17,high分數為57.59,easy分數為52.73,interesting分數為84.19,clear分數為80.1,implicit分數為87.6,heavy分數為62.08,boring分數為28.99,thoughtful分數為82.49,sweet分數為70.82,hard分數為59.64,cold分數為62.5."
"陳心蘋老師的經濟學課程difficult分數為52.92,busy分數為72.51,low分數為57.31,high分數為64.85,easy分數為47.03,interesting分數為77.36,clear分數為72.57,implicit分數為69.77,heavy分數為63.36,boring分數為28.09,thoughtful分數為84.2,sweet分數為57.41,hard分數為49.74,cold分數為59.89."
"廖郁萍老師的經濟學課程difficult分數為49.57,busy分數為53.0,low分數為42.45,high分數為41.32,easy分數為22.3,interesting分數為61.33,clear分數為52.1,implicit分數為66.03,heavy分數為50.88,boring分數為27.32,thoughtful分數為72.43,sweet分數為44.54,hard分數為51.89,cold分數為44.08."
"胡偉民老師的經濟學課程difficult分數為89.23,busy分數為89.08,low分數為82.43,high分數為72.47,easy分數為73.24,interesting分數為95.1,clear分數為94.2,implicit分數為93.2,heavy分數為87.45,boring分數為68.4,thoughtful分數為96.69,sweet分數為92.83,hard分數為82.69,cold分數為85.13."
"吳文傑老師的經濟學課程difficult分數為88.03,busy分數為88.56,low分數為78.5,high分數為76.97,easy分數為86.26,interesting分數為83.99,clear分數為89.32,implicit分數為92.39,heavy分數為85.33,boring分數為68.62,thoughtful分數為92.85,sweet分數為84.29,hard分數為83.24,cold分數為77.4."
"林信助老師的經濟學課程difficult分數為87.58,busy分數為94.18,low分數為84.02,high分數為97.6,easy分數為96.35,interesting分數為98.98,clear分數為99.27,implicit分數為96.68,heavy分數為95.13,boring分數為51.93,thoughtful分數為99.41,sweet分數為98.44,hard分數為84.42,cold分數為87.73."
"王國樑、李為楨老師的經濟學課程difficult分數為82.06,busy分數為82.82,low分數為76.19,high分數為73.83,easy分數為45.57,interesting分數為87.22,clear分數為83.05,implicit分數為88.66,heavy分數為78.25,boring分數為48.73,thoughtful分數為91.05,sweet分數為53.48,hard分數為84.03,cold分數為71.76."
"周德宇老師的經濟學課程difficult分數為87.96,busy分數為88.15,low分數為81.82,high分數為84.09,easy分數為68.3,interesting分數為89.39,clear分數為82.11,implicit分數為93.83,heavy分數為87.81,boring分數為48.2,thoughtful分數為92.83,sweet分數為78.43,hard分數為87.26,cold分數為72.1."
"鄭鴻章老師的經濟學課程difficult分數為96.49,busy分數為88.96,low分數為78.18,high分數為45.09,easy分數為2.01,interesting分數為95.37,clear分數為43.29,implicit分數為59.48,heavy分數為73.59,boring分數為1.82,thoughtful分數為79.66,sweet分數為34.68,hard分數為95.15,cold分數為31.45."
"黃台心老師的經濟學課程difficult分數為40.65,busy分數為64.54,low分數為46.12,high分數為51.95,easy分數為20.68,interesting分數為95.03,clear分數為80.48,implicit分數為69.88,heavy分數為21.16,boring分數為5.59,thoughtful分數為95.29,sweet分數為95.24,hard分數為31.39,cold分數為13.44."
"郭炳伸老師的經濟學課程difficult分數為98.08,busy分數為98.76,low分數為94.65,high分數為99.36,easy分數為97.83,interesting分數為99.71,clear分數為99.67,implicit分數為99.2,heavy分數為99.52,boring分數為79.93,thoughtful分數為99.72,sweet分數為99.54,hard分數為99.1,cold分數為98.62."
"周德宇、胡偉民老師的經濟學課程difficult分數為5.87,busy分數為54.43,low分數為2.51,high分數為96.82,easy分數為98.21,interesting分數為99.65,clear分數為99.44,implicit分數為63.76,heavy分數為19.45,boring分數為0.03,thoughtful分數為99.22,sweet分數為99.56,hard分數為12.94,cold分數為0.56."
"荒井夏來老師的經濟學課程difficult分數為89.39,busy分數為92.03,low分數為84.85,high分數為90.49,easy分數為80.94,interesting分數為95.97,clear分數為96.21,implicit分數為94.71,heavy分數為89.92,boring分數為80.91,thoughtful分數為96.43,sweet分數為93.45,hard分數為88.96,cold分數為89.75."
"洪福聲老師的經濟學課程difficult分數為99.12,busy分數為85.77,low分數為74.97,high分數為59.95,easy分數為11.97,interesting分數為88.69,clear分數為92.33,implicit分數為72.86,heavy分數為97.08,boring分數為19.67,thoughtful分數為92.45,sweet分數為92.21,hard分數為98.89,cold分數為48.49."
"王國樑老師的經濟學課程difficult分數為96.71,busy分數為73.46,low分數為78.84,high分數為86.76,easy分數為27.7,interesting分數為97.9,clear分數為89.55,implicit分數為94.49,heavy分數為95.1,boring分數為81.84,thoughtful分數為98.19,sweet分數為96.28,hard分數為94.33,cold分數為68.34."
"彭喜樞老師的經濟學課程difficult分數為95.5,busy分數為96.73,low分數為88.99,high分數為95.39,easy分數為97.42,interesting分數為98.48,clear分數為98.5,implicit分數為91.87,heavy分數為97.19,boring分數為92.74,thoughtful分數為98.52,sweet分數為96.99,hard分數為94.39,cold分數為95.8."
"黃智聰老師的經濟學課程difficult分數為66.58,busy分數為86.28,low分數為55.19,high分數為94.61,easy分數為88.37,interesting分數為96.06,clear分數為97.67,implicit分數為88.83,heavy分數為74.23,boring分數為11.96,thoughtful分數為96.33,sweet分數為91.04,hard分數為60.77,cold分數為51.86."
"李文傑老師的經濟學課程difficult分數為22.35,busy分數為57.69,low分數為46.17,high分數為76.71,easy分數為31.96,interesting分數為68.13,clear分數為58.23,implicit分數為63.93,heavy分數為34.81,boring分數為7.24,thoughtful分數為71.15,sweet分數為55.16,hard分數為12.91,cold分數為14.51."
"蔡致遠老師的經濟學課程difficult分數為94.48,busy分數為96.75,low分數為87.11,high分數為85.52,easy分數為79.37,interesting分數為96.4,clear分數為91.51,implicit分數為96.51,heavy分數為93.48,boring分數為75.2,thoughtful分數為97.78,sweet分數為93.42,hard分數為94.3,cold分數為93.04."
"陳鎮洲老師的經濟學課程difficult分數為88.72,busy分數為92.98,low分數為90.88,high分數為94.4,easy分數為86.13,interesting分數為97.58,clear分數為97.24,implicit分數為94.98,heavy分數為92.89,boring分數為42.58,thoughtful分數為97.8,sweet分數為95.11,hard分數為94.02,cold分數為90.05."
"廖仁哲老師的經濟學課程difficult分數為93.58,busy分數為95.37,low分數為93.74,high分數為96.0,easy分數為90.41,interesting分數為97.47,clear分數為98.01,implicit分數為97.62,heavy分數為91.15,boring分數為71.65,thoughtful分數為98.86,sweet分數為96.48,hard分數為91.65,cold分數為95.17."
"朱美麗、陳鎮洲老師的經濟學課程difficult分數為98.16,busy分數為97.72,low分數為80.32,high分數為98.26,easy分數為96.01,interesting分數為99.77,clear分數為99.91,implicit分數為90.76,heavy分數為92.61,boring分數為15.28,thoughtful分數為99.85,sweet分數為99.7,hard分數為97.57,cold分數為86.59."
"張興華老師的經濟學課程difficult分數為76.56,busy分數為75.48,low分數為42.43,high分數為97.97,easy分數為86.22,interesting分數為99.61,clear分數為99.73,implicit分數為96.35,heavy分數為48.11,boring分數為5.74,thoughtful分數為97.06,sweet分數為95.56,hard分數為71.83,cold分數為52.41."
"蕭明福老師的經濟學課程difficult分數為84.84,busy分數為62.87,low分數為24.3,high分數為69.59,easy分數為3.83,interesting分數為90.24,clear分數為16.22,implicit分數為53.11,heavy分數為19.68,boring分數為1.01,thoughtful分數為89.08,sweet分數為75.64,hard分數為74.64,cold分數為12.81."
"蘇偉業老師的行政學課程difficult分數為90.81,busy分數為53.17,low分數為25.29,high分數為4.14,easy分數為0.49,interesting分數為56.75,clear分數為6.88,implicit分數為23.97,heavy分數為26.79,boring分數為54.63,thoughtful分數為51.35,sweet分數為15.41,hard分數為83.63,cold分數為7.84."
"江明修老師的行政學課程difficult分數為74.11,busy分數為58.51,low分數為15.15,high分數為75.86,easy分數為17.08,interesting分數為94.56,clear分數為88.49,implicit分數為77.34,heavy分數為35.18,boring分數為1.12,thoughtful分數為91.08,sweet分數為80.84,hard分數為54.29,cold分數為23.3."
"黃東益老師的行政學課程difficult分數為92.84,busy分數為93.16,low分數為85.63,high分數為92.15,easy分數為70.5,interesting分數為94.05,clear分數為93.29,implicit分數為95.83,heavy分數為94.37,boring分數為86.76,thoughtful分數為95.41,sweet分數為89.8,hard分數為91.92,cold分數為88.49."
"白佩玉老師的行銷管理課程difficult分數為80.94,busy分數為92.88,low分數為63.75,high分數為96.36,easy分數為65.04,interesting分數為98.11,clear分數為95.73,implicit分數為93.53,heavy分數為92.01,boring分數為41.81,thoughtful分數為97.93,sweet分數為84.22,hard分數為88.11,cold分數為84.82."
"巫立宇、邱志聖老師的行銷管理課程difficult分數為97.37,busy分數為99.4,low分數為27.78,high分數為85.75,easy分數為18.95,interesting分數為95.49,clear分數為95.32,implicit分數為63.7,heavy分數為99.66,boring分數為0.92,thoughtful分數為95.68,sweet分數為94.93,hard分數為99.07,cold分數為10.17."
"陳建維老師的行銷管理課程difficult分數為91.79,busy分數為89.58,low分數為66.11,high分數為85.74,easy分數為67.99,interesting分數為91.92,clear分數為88.9,implicit分數為94.53,heavy分數為85.55,boring分數為59.79,thoughtful分數為95.44,sweet分數為82.53,hard分數為89.58,cold分數為73.26."
"白佩玉、洪順慶老師的行銷管理課程difficult分數為98.3,busy分數為98.93,low分數為96.05,high分數為98.71,easy分數為94.15,interesting分數為99.59,clear分數為99.43,implicit分數為98.93,heavy分數為98.83,boring分數為80.79,thoughtful分數為99.59,sweet分數為99.26,hard分數為99.23,cold分數為97.73."
"朴星俊老師的行銷管理課程difficult分數為56.91,busy分數為73.99,low分數為57.84,high分數為68.92,easy分數為36.0,interesting分數為73.66,clear分數為70.18,implicit分數為75.59,heavy分數為62.16,boring分數為18.45,thoughtful分數為78.15,sweet分數為64.19,hard分數為63.33,cold分數為73.22."
"白佩玉、陳冠儒老師的行銷管理課程difficult分數為97.64,busy分數為98.51,low分數為92.59,high分數為98.28,easy分數為91.93,interesting分數為99.26,clear分數為99.2,implicit分數為98.25,heavy分數為98.71,boring分數為80.75,thoughtful分數為99.36,sweet分數為98.99,hard分數為98.27,cold分數為93.81."
"陳冠儒老師的行銷管理課程difficult分數為95.77,busy分數為96.33,low分數為70.11,high分數為93.17,easy分數為75.55,interesting分數為98.34,clear分數為98.71,implicit分數為94.63,heavy分數為96.55,boring分數為58.49,thoughtful分數為98.77,sweet分數為93.77,hard分數為97.43,cold分數為85.92."
"別蓮蒂、陳冠儒老師的行銷管理課程difficult分數為51.82,busy分數為49.39,low分數為31.4,high分數為67.37,easy分數為0.86,interesting分數為99.72,clear分數為93.38,implicit分數為57.7,heavy分數為10.99,boring分數為0.05,thoughtful分數為98.74,sweet分數為89.34,hard分數為47.0,cold分數為0.08."
"鄭濬浩老師的行銷管理課程difficult分數為85.21,busy分數為81.56,low分數為36.76,high分數為85.79,easy分數為6.49,interesting分數為94.91,clear分數為97.42,implicit分數為76.64,heavy分數為47.07,boring分數為0.09,thoughtful分數為83.4,sweet分數為97.27,hard分數為67.82,cold分數為0.33."
"李志宏老師的投資學課程difficult分數為59.09,busy分數為71.47,low分數為67.19,high分數為63.4,easy分數為29.48,interesting分數為82.19,clear分數為78.83,implicit分數為87.1,heavy分數為73.28,boring分數為16.25,thoughtful分數為86.23,sweet分數為72.26,hard分數為51.49,cold分數為62.89."
"林靖庭老師的投資學課程difficult分數為95.31,busy分數為95.95,low分數為92.83,high分數為93.85,easy分數為93.98,interesting分數為96.75,clear分數為97.39,implicit分數為95.28,heavy分數為93.64,boring分數為77.46,thoughtful分數為97.73,sweet分數為92.58,hard分數為93.99,cold分數為93.71."
"湛可南老師的投資學課程difficult分數為97.85,busy分數為98.42,low分數為66.48,high分數為91.75,easy分數為15.8,interesting分數為93.14,clear分數為93.77,implicit分數為96.92,heavy分數為97.96,boring分數為33.61,thoughtful分數為97.86,sweet分數為18.43,hard分數為97.71,cold分數為91.05."
"周冠男老師的投資學課程difficult分數為55.19,busy分數為67.88,low分數為0.21,high分數為42.21,easy分數為0.16,interesting分數為54.18,clear分數為14.47,implicit分數為12.19,heavy分數為8.49,boring分數為0.03,thoughtful分數為46.29,sweet分數為44.01,hard分數為29.93,cold分數為0.3."
"陳鴻毅老師的投資學課程difficult分數為91.89,busy分數為95.15,low分數為89.93,high分數為90.25,easy分數為84.33,interesting分數為95.56,clear分數為95.2,implicit分數為95.3,heavy分數為94.64,boring分數為86.9,thoughtful分數為95.89,sweet分數為91.98,hard分數為93.68,cold分數為92.94."
"黃嘉威老師的投資學課程difficult分數為37.63,busy分數為43.61,low分數為33.16,high分數為32.99,easy分數為18.61,interesting分數為48.88,clear分數為40.89,implicit分數為52.43,heavy分數為35.37,boring分數為15.75,thoughtful分數為51.72,sweet分數為25.55,hard分數為37.33,cold分數為31.8."
"車倫周老師的投資學課程difficult分數為80.56,busy分數為88.62,low分數為10.64,high分數為97.24,easy分數為77.48,interesting分數為99.13,clear分數為99.44,implicit分數為77.15,heavy分數為67.05,boring分數為0.82,thoughtful分數為98.19,sweet分數為99.25,hard分數為64.87,cold分數為29.97."
